Cards,2 plyrs
AAo,0.85
AKs,0.67
AKo,0.65
AQs,0.66
AQo,0.65
AJs,0.65
AJo,0.64
ATs,0.65
ATo,0.63
A9s,0.63
A9o,0.61
A8s,0.62
A8o,0.60
A7s,0.61
A7o,0.59
A6s,0.60
A6o,0.58
A5s,0.60
A5o,0.58
A4s,0.59
A4o,0.56
A3s,0.58
A3o,0.56
A2s,0.57
A2o,0.55
KKo,0.82
KQs,0.63
KQo,0.61
KJs,0.63
KJo,0.61
KTs,0.62
KTo,0.60
K9s,0.60
K9o,0.58
K8s,0.59
K8o,0.56
K7s,0.58
K7o,0.55
K6s,0.57
K6o,0.54
K5s,0.56
K5o,0.53
K4s,0.55
K4o,0.52
K3s,0.54
K3o,0.51
K2s,0.53
K2o,0.50
QQo,0.80
QJs,0.60
QJo,0.58
QTs,0.60
QTo,0.57
Q9s,0.58
Q9o,0.56
Q8s,0.56
Q8o,0.54
Q7s,0.55
Q7o,0.52
Q6s,0.54
Q6o,0.51
Q5s,0.53
Q5o,0.50
Q4s,0.52
Q4o,0.49
Q3s,0.51
Q3o,0.48
Q2s,0.50
Q2o,0.47
JJo,0.78
JTs,0.58
JTo,0.55
J9s,0.56
J9o,0.53
J8s,0.54
J8o,0.52
J7s,0.52
J7o,0.50
J6s,0.51
J6o,0.48
J5s,0.50
J5o,0.47
J4s,0.49
J4o,0.46
J3s,0.48
J3o,0.45
J2s,0.47
J2o,0.44
TTo,0.75
T9s,0.54
T9o,0.52
T8s,0.53
T8o,0.50
T7s,0.51
T7o,0.48
T6s,0.49
T6o,0.46
T5s,0.47
T5o,0.44
T4s,0.46
T4o,0.43
T3s,0.46
T3o,0.42
T2s,0.45
T2o,0.42
99o,0.72
98s,0.51
98o,0.48
97s,0.50
97o,0.47
96s,0.48
96o,0.45
95s,0.46
95o,0.43
94s,0.44
94o,0.41
93s,0.43
93o,0.40
92s,0.42
92o,0.39
88o,0.69
87s,0.48
87o,0.46
86s,0.47
86o,0.44
85s,0.45
85o,0.42
84s,0.43
84o,0.40
83s,0.41
83o,0.38
82s,0.40
82o,0.37
77o,0.66
76s,0.46
76o,0.43
75s,0.44
75o,0.41
74s,0.42
74o,0.39
73s,0.40
73o,0.37
72s,0.38
72o,0.35
66o,0.63
65s,0.43
65o,0.40
64s,0.41
64o,0.38
63s,0.39
63o,0.36
62s,0.38
62o,0.34
55o,0.60
54s,0.41
54o,0.38
53s,0.39
53o,0.36
52s,0.38
52o,0.34
44o,0.57
43s,0.38
43o,0.34
42s,0.36
42o,0.33
33o,0.54
32s,0.35
32o,0.31
22o,0.50
